,Sample ID,Nucleic Acid Conc.,Weight (mg),MultFactor,DNA concentration
0,Adult 3 manually cut,137.33333333333334,21.899999999999995,800,5016
1,Adult 3 blended,3.233333333333333,0.6999999999999998,400,1847
2,Adult 4 manually cut,187.5,24.399999999999995,800,6147
3,Adult 4 blended,7.566666666666666,1.5,400,2017
4,Neonatal 9 manually cut,22.4,0.5,400,17920
5,Native lyophilized 4,36.76666666666667,24.100000000000005,400,610
