Sample ID,Nucleic Acid Conc.,Weight (mg),DNA concentration
SDS 48h,166.36666666666667,23.7,2807.876230661041
SDS 72h,258.90000000000003,23.600000000000005,4388.135593220339
SDS 96h,198.4,25.0,3174.4
SDS 120h,137.83333333333334,25.0,2205.3333333333335
SDS 120h change,208.4,24.100000000000005,3458.9211618257254
