Sample ID,Nucleic Acid Conc.,Weight (mg),DNA concentration
PB2 A2B,93.4,10.5,3558.095238095238
PB2 A2M,76.9,11.2,2746.428571428572
PB2 P2M,74.95,1.8,16655.555555555555
