Sample ID,Nucleic Acid Conc.,Weight (mg),MultFactor
PD6E A34,198.3,25.0,400
PDE6 A33,258.90000000000003,23.600000000000005,400
PDE6 A34,198.45,25.0,400
PDE6 A35,137.83333333333334,25.0,400
PDE6 A3sw5,208.4,24.100000000000005,400
