Sample ID,Nucleic Acid Conc.,Weight (mg),DNA Conc ng/mg
PB3 A3 48h,134.86666666666667,21.8,2474.617737003058
PB3 A3 5d,112.43333333333334,19.2,2342.3611111111113
PB3 P4 48h,370.1333333333334,8.5,17418.039215686276
PB3 P5 5d,302.26666666666665,4.08,29633.986928104572
PB3 P6 5d,26.53333333333333,0.8000000000000002,13266.666666666662
