Sample ID,Nucleic Acid Conc.,Weight (mg),DNA Conc ng/mg
T1 72 h,258.90000000000003,23.600000000000005,4388.135593220339
T2 96 h,198.4,25.0,3174.4
T3 120 h,137.83333333333334,25.0,2205.3333333333335
T4 120 h w switch,208.4,24.100000000000005,3458.9211618257254
