Sample ID,Nucleic Acid Conc.,Weight (mg),MultFactor
Fa1a,137.33333333333334,21.899999999999995,800
Fa1b,3.233333333333333,0.6999999999999998,400
Fa2a,187.5,24.399999999999995,800
Fa2b,7.566666666666666,1.5,400
Fp1a,22.400000000000002,0.5,400
NA4,36.76666666666667,24.100000000000005,400
