Sample ID,Nucleic Acid Conc.,Weight (mg),DNA concentration
PB4 A3 80:1,6.933333333333334,4.0,693.3333333333334
PB4 A3 96h,8.733333333333333,12.800000000000002,272.9166666666666
PB4 A3 native lyophilized,47.06666666666666,24.2,777.9614325068869
PB4 A3 native wet,27.333333333333332,20.7,528.1803542673108
PB4 A3 standard,30.633333333333336,17.5,700.1904761904763
PB4 A3 switch,9.166666666666666,2.5,1466.6666666666665
