Sample ID,Nucleic Acid Conc.,Weight (mg),MultFactor
PB4 A3 80:1,6.933333333333334,4.0,400
PB4 A3 96h,8.733333333333333,12.800000000000002,400
PB4 A3 native lyophilized,47.06666666666666,24.2,400
PB4 A3 native wet,27.333333333333332,20.7,400
PB4 A3 standard,30.633333333333336,17.5,400
PB4 A3 switch,9.166666666666666,2.5,400
