,Sample ID,Nucleic Acid Conc.,Weight (mg),MultFactor,DNA concentration
0,PB4 A3 80:1,6.933333333333334,4.0,400,693.3333333333334
1,PB4 A3 96h,8.733333333333333,12.800000000000002,400,272.9166666666666
2,PB4 A3 native lyophilized,47.06666666666666,24.2,400,777.9614325068869
3,PB4 A3 native wet,27.33333333333333,20.7,400,528.1803542673108
4,PB4 A3 standard,30.633333333333336,17.5,400,700.1904761904763
5,PB4 A3 switch,9.166666666666666,2.5,400,1466.6666666666665
