,Sample ID,Nucleic Acid Conc.,Weight (mg),MultFactor,DNA concentration
0,Native lyophilized,63.1,24.899999999999995,400,1013
1,SDS 48h 20:1,186.76666666666665,23.3,400,3206
2,SDS 48h 40:1,166.36666666666667,23.7,400,2807
3,SDS 96h change 40:1,201.73333333333332,23.3,400,3463
